ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
7.75,9.5,8,0.75,1.75,0.25,2.35,-15.2374719511112,5.2,-22.3509474205991,5.75,-12.5944280218568
7.75,9.5,8,1,1.75,0.25,2.35,-25.555198816493,5.1,-15.0295139100805,5.7,-14.4399387977416
8,9.5,8,0.5,1.75,0.25,2.4,-15.4354260546419,5.15,-20.9433918754171,5.7,-13.60062185474
8,9.5,8,0.75,1.75,0.25,2.35,-21.6277632039345,5.15,-34.5216000042103,5.7,-14.2141012788593
8,9.5,8,1,1.75,0.25,2.35,-19.3061269288385,5.2,-19.3279320211885,5.75,-14.2759940828098
7.5,9.5,8,0.5,2,0.25,2.35,-12.2165269135707,5.2,-15.3665005784193,5.8,-11.1578945115294
7.5,9.5,8,0.75,2,0.25,2.35,-16.157547837695,5.15,-15.9571850849696,5.75,-11.8506969097315
7.5,9.5,8,1,2,0.25,2.35,-20.9514913741811,5.15,-14.7492718144833,5.8,-11.6815448324196
7.75,9.5,8,0.5,2,0.25,2.4,-12.5425688149016,5.15,-17.0186503012025,5.75,-12.3115734317578
7.75,9.5,8,0.75,2,0.25,2.35,-22.1810409121014,5.15,-19.3681880029578,5.8,-12.0941054869409
7.75,9.5,8,1,2,0.25,2.35,-16.8214752009045,5.15,-24.3913645249438,5.75,-12.4960032309028
8,9.5,8,0.5,2,0.25,2.35,-17.4931059595721,5.15,-25.7473815261077,5.75,-13.0160770257094
8,9.5,8,0.75,2,0.25,2.35,-20.1617385391904,4.9,-21.1591195261538,5.5,-18.1877041372325
